,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
0,Apartment/Condominium,,1078 sqft,Yes,$677,R2905927,,Residential,2023,,"609 - 8379 201 St, Langley, BC",2,2,1,14/07/2024,"$729,900"
1,Apartment/Condominium,,841 sqft,Yes,$838,R2905855,,Residential,2025,,"119 - 7937 206 St, Langley, BC",2,2,1,14/07/2024,"$704,900"
2,Townhouse,"$3,471",1357 sqft,Yes,$567,R2905783,,Residential,2011,,"49 - 21867 50 Ave, Langley, BC",2,3,2,14/07/2024,"$770,000"
3,Townhouse,"$4,207",1443 sqft,Yes,$678,R2905082,,Residential,2019,,"137 - 7947 209 St, Langley, BC",2,3,2,14/07/2024,"$979,000"
4,Multi Family,"$2,055",2562 sqft,Yes,$538,R2905998,,Residential,2024,,"8188 201 St, Langley, BC",3,5,2,14/07/2024,"$1,379,900"
5,Single Family Residence,"$3,451",966 sqft,No,"$1,992",R2905631,,Residential,1975,,"20890 42 Ave, Langley, BC",1,2,0,14/07/2024,"$1,925,000"
6,Apartment/Condominium,,991 sqft,Yes,$784,R2905634,,Residential,2024,,"518 - 20061 Fraser Highway, Langley, BC",2,2,1,14/07/2024,"$777,000"
7,Apartment/Condominium,"$2,811",533 sqft,Yes,$936,R2905793,,Residential,2021,,"A209 - 20838 78 B Ave, Langley, BC",1,1,1,14/07/2024,"$499,000"
8,Apartment/Condominium,,601 sqft,Yes,$914,R2904664,,Residential,2023,,"302 - 19825 54 Ave, Langley, BC",0,2,0,11/07/2024,"$549,880"
9,Townhouse,"$4,564",1212 sqft,Yes,$820,R2905120,,Residential,2019,,"13 - 20849 78 B Ave, Langley, BC",2,3,2,11/07/2024,"$995,000"
10,Single Family Residence,"$5,854",2401 sqft,Yes,$665,R2905308,,Residential,1994,,"20770 91 B Ave, Langley, BC",3,4,6,11/07/2024,"$1,599,000"
11,Single Family Residence,"$4,614",1941 sqft,No,$695,R2903262,,Residential,1959,,"3538 196 St, Langley, BC",2,4,4,11/07/2024,"$1,349,900"
12,Apartment/Condominium,"$2,492",555 sqft,Yes,$945,R2905143,,Residential,2012,,"A412 - 20211 66 Ave, Langley, BC",1,1,1,11/07/2024,"$525,000"
13,Apartment/Condominium,,749 sqft,Yes,$967,R2905330,,Residential,2025,,"204 - 19976 76 Ave, Langley, BC",2,2,1,11/07/2024,"$724,900"
14,Apartment/Condominium,"$2,983",759 sqft,Yes,$744,R2904506,,Residential,2020,,"409 - 22136 49 Ave, Langley, BC",1,1,2,11/07/2024,"$565,000"
15,Apartment/Condominium,"$2,703",1071 sqft,Yes,$494,R2905210,,Residential,1993,,"115 - 21975 49 Ave, Langley, BC",2,2,1,11/07/2024,"$529,900"
16,Apartment/Condominium,"$3,202",758 sqft,Yes,$777,R2904832,,Residential,2021,,"A324 - 8150 207 St, Langley, BC",1,1,2,10/07/2024,"$589,000"
17,Apartment/Condominium,"$2,261",984 sqft,Yes,$558,R2905350,,Residential,1997,,"106 - 20268 54 Ave, Langley, BC",2,2,1,10/07/2024,"$549,800"
18,Apartment/Condominium,,906 sqft,Yes,$750,R2904755,,Residential,2027,,"225 - 20644 Eastleigh Cres, Langley, BC",2,2,1,10/07/2024,"$679,900"
19,Single Family Residence,"$2,863",3545 sqft,Yes,$524,R2904882,,Residential,2024,,"7529 205 A St, Langley, BC",5,6,4,10/07/2024,"$1,859,000"
20,Townhouse,"$4,015",2992 sqft,Yes,$297,R2904863,,Residential,1993,,"179 - 20391 96 Ave, Langley, BC",3,4,2,10/07/2024,"$889,800"
21,Apartment/Condominium,,576 sqft,Yes,$798,R2904770,,Residential,2027,,"301 - 20644 Eastleigh Cres, Langley, BC",1,1,1,10/07/2024,"$459,900"
22,Apartment/Condominium,"$3,045",840 sqft,Yes,$713,R2905233,,Residential,2009,,"421 - 8915 202 St, Langley, BC",2,2,2,10/07/2024,"$599,000"
23,Apartment/Condominium,"$1,310",667 sqft,Yes,$682,R2904669,,Residential,2017,,"306 - 19730 56 Ave, Langley, BC",1,1,1,10/07/2024,"$455,000"
24,Townhouse,"$2,848",1601 sqft,Yes,$536,R2904268,,Residential,1989,,"97 - 5550 Langley Bypass, Langley, BC",2,2,2,09/07/2024,"$859,000"
25,Single Family Residence,"$6,469",3647 sqft,Yes,$463,R2904918,,Residential,2010,,"7330 197 St, Langley, BC",3,5,3,09/07/2024,"$1,689,888"
26,Apartment/Condominium,"$1,260",442 sqft,Yes,$947,R2904681,,Residential,2019,,"105 - 19940 Brydon Cres, Langley, BC",1,1,1,09/07/2024,"$419,000"
27,Apartment/Condominium,"$1,749",658 sqft,Yes,$582,R2904282,,Residential,1982,,"214 - 20454 53 Ave, Langley, BC",1,1,1,09/07/2024,"$383,000"
28,Single Family Residence,"$5,974",2218 sqft,Yes,$689,R2904154,,Residential,1993,,"19923 45 B Ave, Langley, BC",2,4,5,09/07/2024,"$1,529,000"
29,Single Family Residence,"$26,075",3446 sqft,Yes,"$2,231",R2904274,,Residential,1987,,"20745 68 Ave, Langley, BC",2,4,12,09/07/2024,"$7,690,000"
30,Single Family Residence,"$4,851",2359 sqft,Yes,$597,R2904273,,Residential,1973,,"4048 207a St, Langley, BC",2,4,8,09/07/2024,"$1,409,900"
31,Apartment/Condominium,"$1,764",762 sqft,Yes,$761,R2904155,,Residential,2017,,"312 - 20175 53 Ave, Langley, BC",2,2,2,09/07/2024,"$579,900"
32,Single Family Residence,"$7,770",3883 sqft,Yes,$733,R2903419,,Residential,2008,,"9463 Waska St, Langley, BC",3,3,4,08/07/2024,"$2,850,000"
33,Apartment/Condominium,"$2,780",637 sqft,Yes,$894,R2902868,,Residential,2023,,"615 - 8379 201 St, Langley, BC",1,1,1,08/07/2024,"$569,900"
34,Single Family Residence,"$8,912",5493 sqft,Yes,$509,R2904968,,Residential,2022,,"19681 31 A Ave, Langley, BC",7,8,4,08/07/2024,"$2,799,999"
35,Apartment/Condominium,"$3,364",869 sqft,Yes,$805,R2904233,,Residential,2023,,"503 - 8379 201 St, Langley, BC",2,2,2,08/07/2024,"$699,900"
36,Townhouse,,1641 sqft,Yes,$609,R2905001,,Residential,2024,,"56 - 7919 204 B St, Langley, BC",2,3,2,08/07/2024,"$999,900"
37,Apartment/Condominium,"$3,116",1358 sqft,Yes,$727,R2902563,,Residential,2021,,"313 - 20416 Park Ave, Langley, BC",2,2,1,08/07/2024,"$988,000"
38,Apartment/Condominium,,893 sqft,Yes,$750,R2903624,,Residential,2023,,"108 - 8379 201 St, Langley, BC",2,2,2,08/07/2024,"$669,999"
39,Apartment/Condominium,"$2,150",847 sqft,Yes,$707,R2904426,,Residential,2021,,"5415 Brydon Cres, Langley, BC",2,2,1,08/07/2024,"$599,000"
40,Townhouse,,1411 sqft,Yes,$694,R2904955,,Residential,2024,,"5 - 7919 204 B St, Langley, BC",2,4,3,08/07/2024,"$979,900"
41,Apartment/Condominium,"$3,270",1045 sqft,Yes,$602,R2904289,,Residential,2022,,"410 - 20362 72b Ave, Langley, BC",2,2,2,08/07/2024,"$629,900"
42,Apartment/Condominium,"$1,784",852 sqft,Yes,$686,R2903120,,Residential,2011,,"216 - 20219 54a Ave, Langley, BC",2,2,2,08/07/2024,"$585,000"
43,Single Family Residence,"$6,312",2083 sqft,Yes,$672,R2903126,,Residential,1988,,"21085 92 A Ave, Langley, BC",2,4,6,08/07/2024,"$1,399,980"
44,Townhouse,"$4,508",1702 sqft,Yes,$545,R2903553,,Residential,1994,,"97 - 9208 208 St, Langley, BC",2,3,2,08/07/2024,"$927,800"
45,Townhouse,,1509 sqft,Yes,$530,R2904005,,Residential,2004,,"111 - 7179 201 St, Langley, BC",1,3,2,08/07/2024,"$799,999"
46,Townhouse,,1427 sqft,Yes,$700,R2905110,,Residential,2024,,"37 - 7919 204 B St, Langley, BC",2,3,2,08/07/2024,"$999,900"
47,Single Family Residence,"$6,210",2942 sqft,No,$607,R2904246,,Residential,1994,,"22070 46 Ave, Langley, BC",3,6,2,08/07/2024,"$1,788,000"
48,Townhouse,"$3,819",1441 sqft,Yes,$644,R2902917,,Residential,2018,,"102 - 20498 82 Ave, Langley, BC",2,3,3,07/07/2024,"$928,888"
49,Apartment/Condominium,"$2,501",896 sqft,Yes,$735,R2903051,,Residential,2022,,"A208 - 20834 80 Ave, Langley, BC",2,2,2,07/07/2024,"$659,000"
50,Apartment/Condominium,"$2,739",852 sqft,Yes,$780,R2902268,,Residential,2022,,"101 - 8538 203 A St, Langley, BC",1,2,2,07/07/2024,"$665,000"
51,Single Family Residence,"$2,679",4463 sqft,Yes,$503,R2902903,,Residential,2024,,"7525 205 A St, Langley, BC",6,6,4,07/07/2024,"$2,249,000"
52,Single Family Residence,"$5,039",2679 sqft,Yes,$485,R2903308,,Residential,2001,,"21 - 20292 96 Ave, Langley, BC",2,5,5,07/07/2024,"$1,299,900"
53,Apartment/Condominium,"$3,054",931 sqft,Yes,$805,R2903335,,Residential,2020,,"612 - 20673 78 Ave, Langley, BC",2,2,2,07/07/2024,"$750,000"
54,Apartment/Condominium,"$2,988",935 sqft,No,$802,R2904624,,Residential,2022,,"B506 - 8447 202 St, Langley, BC",2,2,1,07/07/2024,"$749,900"
55,Single Family Residence,"$6,014",2701 sqft,Yes,$518,R2903420,,Residential,2006,,"20846 84a Ave, Langley, BC",3,4,4,07/07/2024,"$1,399,900"
56,Apartment/Condominium,,590 sqft,Yes,$796,R2902809,,Residential,2024,,"103 - 8117 200 A St, Langley, BC",1,1,1,04/07/2024,"$469,900"
57,Manufactured Home,$357,786 sqft,No,$253,R2902614,,Residential,1972,,"35 - 9080 198 St, Langley, BC",1,2,2,05/07/2024,"$199,500"
58,Townhouse,,1443 sqft,Yes,$741,R2903310,,Residential,2024,,"38 - 20329 80 Ave, Langley, BC",2,3,2,06/07/2024,"$1,069,900"
59,Townhouse,"$4,011",1223 sqft,Yes,$654,R2902812,,Residential,2011,,"64 - 7938 209 St, Langley, BC",2,2,2,04/07/2024,"$799,889"
60,Single Family Residence,"$2,477",3618 sqft,Yes,$577,R2902675,,Residential,2024,,"7145 204a St, Langley, BC",5,7,4,04/07/2024,"$2,088,000"
61,Single Family Residence,"$5,773",902 sqft,No,"$1,993",R2902542,,Residential,1950,,"23124 96 Ave, Langley, BC",1,2,0,04/07/2024,"$1,798,000"
62,Townhouse,"$4,738",2006 sqft,Yes,$593,R2902489,,Residential,2021,,"35 - 20327 72 B Ave, Langley, BC",3,4,2,04/07/2024,"$1,190,000"
63,Apartment/Condominium,"$1,445",582 sqft,Yes,$857,R2901692,,Residential,2012,,"111 - 20058 Fraser Highway, Langley, BC",1,1,1,04/07/2024,"$498,900"
64,Apartment/Condominium,"$2,517",1098 sqft,Yes,$473,R2902322,,Residential,1995,,"213 - 5765 Glover Rd, Langley, BC",2,2,2,03/07/2024,"$519,900"
65,Townhouse,"$3,993",1416 sqft,Yes,$627,R2902431,,Residential,2020,,"24 - 8161 201 St, Langley, BC",2,3,2,03/07/2024,"$888,800"
66,Single Family Residence,"$6,044",2733 sqft,Yes,$585,R2901878,,Residential,1993,,"22250 46a Ave, Langley, BC",3,5,6,03/07/2024,"$1,599,000"
67,Apartment/Condominium,"$2,861",673 sqft,Yes,$757,R2902085,,Residential,2018,,"413 - 20829 77a Ave, Langley, BC",1,1,1,03/07/2024,"$509,900"
68,Single Family Residence,"$8,255",3070 sqft,No,"$1,628",R2902287,,Residential,1971,,"20877 40 Ave, Langley, BC",3,4,0,03/07/2024,"$5,000,000"
69,Apartment/Condominium,"$2,042",786 sqft,Yes,$596,R2901423,,Residential,1998,,"118 - 20259 Michaud Cres, Langley, BC",1,1,1,03/07/2024,"$469,000"
70,Single Family Residence,"$5,265",3106 sqft,Yes,$426,R2900253,,Residential,1999,,"20817 97 Ave, Langley, BC",3,5,2,03/07/2024,"$1,324,900"
71,Apartment/Condominium,"$1,000",715 sqft,Yes,$839,R2902261,,Residential,2024,,"406 - 20267 72 B Ave, Langley, BC",2,2,1,03/07/2024,"$599,900"
72,Apartment/Condominium,"$3,473",1117 sqft,Yes,$643,R2901860,,Residential,2018,,"A204 - 8218 207a St, Langley, BC",2,2,2,02/07/2024,"$718,800"
73,Single Family Residence,"$5,910",1352 sqft,Yes,$980,R2901216,,Residential,1991,,"20807 93 Ave, Langley, BC",2,3,6,02/07/2024,"$1,325,000"
74,Single Family Residence,,5863 sqft,Yes,$443,R2902052,,Residential,2024,,"20339 27 Ave, Langley, BC",8,8,6,02/07/2024,"$2,598,000"
75,Apartment/Condominium,"$2,657",1345 sqft,Yes,$446,R2901708,,Residential,1994,,"102 - 20145 55a Ave, Langley, BC",2,2,1,02/07/2024,"$599,900"
76,Single Family Residence,"$6,334",2282 sqft,Yes,$788,R2902811,,Residential,1973,,"9206 Wright St, Langley, BC",2,4,8,02/07/2024,"$1,800,000"
77,Apartment/Condominium,"$2,142",995 sqft,Yes,$502,R2901608,,Residential,1992,,"115 - 20976 56 Ave, Langley, BC",2,2,1,02/07/2024,"$499,900"
78,Single Family Residence,"$4,495",1676 sqft,No,$637,R2901468,,Residential,1999,,"49 - 8888 216 St, Langley, BC",3,4,2,02/07/2024,"$1,068,000"
79,Apartment/Condominium,"$2,296",1088 sqft,Yes,$551,R2901365,,Residential,1993,,"111 - 5677 208 St, Langley, BC",2,2,1,02/07/2024,"$599,900"
80,Single Family Residence,"$6,602",3677 sqft,Yes,$462,R2901195,,Residential,2008,,"19789 68 Ave, Langley, BC",5,7,6,01/07/2024,"$1,699,000"
81,Single Family Residence,"$5,667",2103 sqft,Yes,"$1,426",R2900298,,Residential,1974,,"1265 235 St, Langley, BC",2,4,20,01/07/2024,"$2,999,000"
82,Single Family Residence,"$5,038",2092 sqft,Yes,$669,R2900891,,Residential,1975,,"20037 37a Ave, Langley, BC",3,4,5,01/07/2024,"$1,399,900"
83,Single Family Residence,"$7,117",2890 sqft,Yes,$692,R2901726,,Residential,1990,,"9025 203b St, Langley, BC",3,5,4,01/07/2024,"$2,000,000"
84,Apartment/Condominium,"$2,300",1413 sqft,Yes,$586,R2901171,,Residential,2018,,"B218 - 8218 207 A St, Langley, BC",2,3,2,01/07/2024,"$829,000"
85,Townhouse,"$4,664",2400 sqft,Yes,$478,R2902620,,Residential,2011,,"9 - 9584 216 St, Langley, BC",3,4,4,01/07/2024,"$1,149,000"
86,Single Family Residence,"$6,279",2806 sqft,Yes,$598,R2900685,,Residential,1989,,"21588 87a Ave, Langley, BC",2,3,6,01/07/2024,"$1,679,900"
87,Single Family Residence,"$5,960",3457 sqft,Yes,$442,R2902366,,Residential,2008,,"8378 208 St, Langley, BC",2,7,4,01/07/2024,"$1,529,000"
88,Apartment/Condominium,,738 sqft,Yes,$812,R2901329,,Residential,2023,,"B206 - 20834 80 Ave, Langley, BC",2,2,1,01/07/2024,"$599,900"
89,Townhouse,"$4,275",1765 sqft,Yes,$566,R2901354,,Residential,2016,,"58 - 20860 76 Ave, Langley, BC",2,4,2,01/07/2024,"$999,000"
90,Single Family Residence,"$4,599",1845 sqft,Yes,$595,R2900382,,Residential,2001,,"116 - 8888 216 St, Langley, BC",2,3,2,01/07/2024,"$1,099,000"
91,Apartment/Condominium,,710 sqft,Yes,$759,R2900755,,Residential,2011,,"418 - 21009 56 Ave, Langley, BC",1,1,1,01/07/2024,"$539,000"
92,Townhouse,"$4,043",1333 sqft,Yes,$675,R2900803,,Residential,2019,,"62 - 20849 78b Ave, Langley, BC",2,4,2,01/07/2024,"$899,900"
93,Single Family Residence,"$7,145",4557 sqft,Yes,$702,R2900316,,Residential,2020,,"2 - 23256 34a Ave, Langley, BC",4,6,15,01/07/2024,"$3,200,000"
94,Townhouse,"$3,598",1475 sqft,Yes,$541,R2900530,,Residential,2014,,"55 - 7298 199a St, Langley, BC",2,3,2,01/07/2024,"$799,000"
95,Townhouse,"$3,835",1178 sqft,Yes,$691,R2901585,,Residential,2017,,"8 - 20857 77a Ave, Langley, BC",2,2,2,01/07/2024,"$815,000"
96,Apartment/Condominium,"$3,081",879 sqft,Yes,$682,R2899348,,Residential,2012,,"A303 - 20211 66 Ave, Langley, BC",2,2,1,26/06/2024,"$599,900"
97,Apartment/Condominium,"$1,494",772 sqft,Yes,$633,R2899854,,Residential,1998,,"206 - 20896 57 Ave, Langley, BC",1,2,1,26/06/2024,"$489,000"
98,Townhouse,"$3,784",1550 sqft,Yes,$564,R2899847,,Residential,2007,,"131 - 20875 80 Ave, Langley, BC",3,3,2,26/06/2024,"$875,000"
99,Townhouse,"$4,195",2156 sqft,Yes,$463,R2898381,,Residential,2014,,"105 - 8068 207 St, Langley, BC",3,4,4,26/06/2024,"$1,000,000"
100,Apartment/Condominium,"$2,736",793 sqft,Yes,$693,R2899856,,Residential,2013,,"402 - 20861 83 Ave, Langley, BC",1,2,1,26/06/2024,"$549,900"
101,Apartment/Condominium,"$3,463",942 sqft,Yes,$742,R2899278,,Residential,2009,,"113 - 23215 Billy Brown Rd, Langley, BC",1,1,1,26/06/2024,"$699,900"
102,Apartment/Condominium,"$413,000",784 sqft,Yes,$636,R2899786,,Residential,1995,,"109 - 20110 Michaud Cres, Langley, BC",1,1,2,26/06/2024,"$498,800"
103,Townhouse,"$3,946",1300 sqft,Yes,$690,R2903755,,Residential,2016,,"46 - 8570 204 St, Langley, BC",2,3,3,09/07/2024,"$898,000"
104,Apartment/Condominium,"$2,908",866 sqft,Yes,$663,R2898934,,Residential,2011,,"321 - 21009 56 Ave, Langley, BC",2,2,2,25/06/2024,"$574,950"
105,Single Family Residence,"$5,797",1922 sqft,No,$777,R2898136,,Residential,1973,,"21764 50 Ave, Langley, BC",2,4,6,25/06/2024,"$1,495,000"
106,Apartment/Condominium,"$2,100",1134 sqft,Yes,$555,R2899917,,Residential,1993,,"103 - 20120 56 Ave, Langley, BC",2,2,1,25/06/2024,"$629,900"
107,Single Family Residence,"$18,923",2150 sqft,Yes,"$1,930",R2900040,,Residential,1949,,"2087 208 St, Langley, BC",2,3,0,25/06/2024,"$4,150,000"
108,Townhouse,"$3,045",1406 sqft,No,$496,R2899527,,Residential,1996,,"6 - 9036 208 St, Langley, BC",2,2,2,25/06/2024,"$697,800"
109,Townhouse,"$3,630",1452 sqft,Yes,$530,R2898846,,Residential,2011,,"3 - 20195 68 Ave, Langley, BC",2,2,1,25/06/2024,"$770,000"
110,Townhouse,,1428 sqft,Yes,$595,R2899622,,Residential,2022,,"42 - 20487 65 Ave, Langley, BC",2,2,2,25/06/2024,"$849,900"
111,Single Family Residence,"$4,746",1937 sqft,Yes,$825,R2899350,,Residential,1973,,"3921 204 St, Langley, BC",2,4,7,25/06/2024,"$1,599,000"
112,Single Family Residence,,3835 sqft,Yes,$521,R2898978,,Residential,2024,,"7515 205 St, Langley, BC",7,6,4,24/06/2024,"$2,000,000"
113,Apartment/Condominium,,607 sqft,Yes,$905,R2899105,,Residential,2025,,"222 - 7920 206 St, Langley, BC",1,1,1,24/06/2024,"$549,900"
114,Apartment/Condominium,"$2,590",551 sqft,Yes,$925,R2898868,,Residential,2021,,"A201 - 8150 207 St, Langley, BC",1,1,1,24/06/2024,"$509,800"
115,Townhouse,"$3,426",1540 sqft,Yes,$480,R2899204,,Residential,1993,,"241 - 20391 96 Ave, Langley, BC",2,2,2,24/06/2024,"$739,900"
116,Townhouse,"$3,597",1253 sqft,Yes,$590,R2898965,,Residential,2005,,"145 - 6747 203 St, Langley, BC",2,2,3,24/06/2024,"$739,880"
117,Single Family Residence,"$5,212",1975 sqft,No,$748,R2898850,,Residential,1973,,"20328 36b Ave, Langley, BC",2,4,6,24/06/2024,"$1,479,000"
118,Townhouse,"$3,586",1442 sqft,Yes,$533,R2898414,,Residential,1989,,"23 - 8737 212 St, Langley, BC",2,3,2,24/06/2024,"$770,000"
119,Single Family Residence,"$2,834",4878 sqft,Yes,$461,R2898457,,Residential,2024,,"7531 205 St, Langley, BC",6,8,0,24/06/2024,"$2,249,000"
120,Apartment/Condominium,"$3,031",1355 sqft,Yes,$737,R2898467,,Residential,2021,,"101 - 20416 Park Ave, Langley, BC",2,2,1,23/06/2024,"$999,000"
121,Townhouse,"$2,743",1018 sqft,No,$625,R2898233,,Residential,1977,,"6 - 4929 207a St, Langley, BC",1,3,4,23/06/2024,"$637,000"
